학대사례유형별,계,신체학대,정서학대,성학대,방임,유기
2001,2848,1015,574,140,985,134
2002,3660,1039,961,119,1329,212
2003,4330,1315,1172,203,1514,126
2004,5764,1587,1680,266,2071,160
2005,6659,1728,2034,305,2416,176
2006,7329,1827,2182,372,2842,106
2007,8034,2095,2420,409,3018,92
2008,7795,1857,2315,424,3105,94
2009,8350,2095,2847,426,2939,43
2010,8466,2182,2974,400,2878,32
2011,9148,2464,3312,368,2919,85
2012,9938,2858,3785,446,2849,0
2013,10231,3160,3843,380,2848,0
2014,15458,5699,6176,447,3136,0
2015,17662,6661,7197,629,3175,0
2016,28482,10875,12262,753,4592,0
2017,34178,13200,15346,1087,4545,0
